Título,Precio,Categoría,Fecha de lanzamiento,Descripción
A Monster's Expedition,"24,99 €*","• Aventura, Otros, Puzle",05-08-2021,"De la mano de algunos de los mejores diseñadores de puzles del mundo, llega A Monster's Expedition, una adorable y relajante aventura de puzles de mundo abierto para monstruos que quieran saber más sobre los humanos."
Arcade Archives BIO-SHIP PALADIN,"6,99 €*","• Arcade, Disparos (Shooter)",05-08-2021,"A strategic, hardcore shooter!"
Pixel Game Maker Series BLOCK SLIME CAVE,"5,99 €*","• Acción, Arcade, Puzle",05-08-2021,Use slime to get to the goal! A puzzle action game that will stick with you!
Dungeon Defenders: Awakened,"24,99 €*","• Acción, Estrategia, Rol (RPG)",04-08-2021,"Puedes unir fuerzas con hasta cuatro jugadores para enfrentaros a innumerables ejércitos de orcos, demonios y dragones. Tus defensas son lo suficientemente fuertes como?"
Enter Digiton: Heart of Corruption,"7,99 €*","• Acción, Aventura, Plataformas",04-08-2021,¡Salva a un reino subterráneo de la muerte y la ruina!
Orbals,"8,99 €*","• Aventura, Plataformas, Puzle",04-08-2021,"¡En el mágico y colorido mundo de Orbalia, encontrar más magia puede suponer la diferencia entre la vida y la muerte!"
Memory Lane 2,"3,99 €*","• Educativo, Puzle",03-08-2021,¡Vuelve tu juego de entrenamiento de memoria favorito! ¡Ahora con más juegos de cartas y con más música!
Dragon Star Varnir,"29,99 €*","• Acción, Rol (RPG)",03-08-2021,Están condenadas por la maldición del dragón. ¿Qué tendrán que sacrificar?
Demons of Asteborg,"14,99 €*","• Acción, Arcade, Aventura, Plataformas",01-08-2021,"Demons of Asteborg es un juego de acción y plataformas, con elementos de metroidvania. ¡Juega como Gareth y evita que Zadimus destruya Asteborg!"
Easy Flight Simulator,"4,99 €*",• Simulación,31-07-2021,"¿Has soñado alguna vez con tomar los mandos de fantásticos aviones como el jet, el super jumbo, el de carga o el de acrobacias? Este juego es un verdadero simulador de vuelo con comandos diseñados para ser asumidos fácilmente a cualquier edad."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
BUSTAFELLOWS,"39,99 €*","• Aventura, Otros, Rol (RPG)",30-07-2021,Otome noir apasionado
Cuccchi,"7,99 €*","• Educativo, Otros, Simulación",30-07-2021,Explore beautiful dioramas and trippy labyrinths in a journey inside the paintings of Enzo Cucchi.
Alfonzo's Arctic Adventure,"4,49 €*","• Acción, Plataformas",30-07-2021,
City Match - A Block Pop Puzzle Game,"6,99 €*","• Acción, Estrategia, Puzle, Tablero",30-07-2021,
We Know the Devil,"6,66 €*",• Aventura,30-07-2021,"A visual novel set in a surreal summer camp dystopia. Follow three teens as they become friends and prepare to fight the real, actual devil."
Papa's Quiz,"9,99 €*",• Fiesta,30-07-2021,
Super Squidlit,"8,19 €*","• Acción en primera persona (FPS), Plataformas, Rol (RPG)",30-07-2021,Explore a wacky world of invertebrates in this game that meticulously replicates the GAME BOY™ COLOR!
Alone With You,"9,99 €*",• Aventura,30-07-2021,Un juego de aventuras de ciencia ficción que es agridulce y va directo al corazón.
Apple Slash,"4,99 €1,49 €*","• Acción, Arcade, Aventura",30-07-2021,¡Apunta y empieza a cortar!
Dungeon of Crawl,"4,99 €*","• Acción, Arcade, Aventura, Rol (RPG)",30-07-2021,"¡Conquista el mundo de Dungeon of Crawl, apodérate de sus riquezas y goza de la gloria de un héroe!"
10 Second Ninja X,"9,00 €*","• Acción, Lucha, Plataformas, Puzle",30-07-2021,Preparados... Listos... ¡Nin-ya!
Xenogunner,"12,49 €*","• Acción, Plataformas",30-07-2021,¡Salva el universo del malvado artillero Xeno en este intenso juego de plataformas de correr y disparar centrado en los jefes!
HORROR TALES: The Wine,"14,99 €*","• Acción, Acción en primera persona (FPS), Aventura, Disparos (Shooter)",30-07-2021,Explore a post-pandemic fictional Mediterranean island and confront your Nemesis!
B.ARK,"7,99 €*","• Arcade, Disparos (Shooter), Fiesta",29-07-2021,¡Surca el espacio en compañía de animales adorables y salva el planeta Tierra en B.ARK para Nintendo Switch!
Eldest Souls,"19,99 €*","• Acción, Rol (RPG)",29-07-2021,"Todo terminó con una espada, dioses ancestrales y un montón de muertes."
OS Omega,"5,99 €*","• Acción, Disparos (Shooter), Puzle, Rol (RPG)",29-07-2021,"You are Binary Boy, an agent of OS Omega and your goal is to defeat the virus that wants to format the C drive of the computer you must protect."
Sound waves,"4,50 €*","• Acción, Arcade, Aventura, Puzle",29-07-2021,"Addictive gameplay, Stylish minimalistic graphics, Many levels, Gloomy environment, Space for your imagination"
Dream House Days DX,"13,00 €*","• Estrategia, Puzle, Rol (RPG), Simulación",29-07-2021,¡Haz realidad la casa de tus sueños en esta simulación de administración!
Fuga: Melodies of Steel,"39,99 €*",• Rol (RPG),29-07-2021,Un RPG de acción y estrategia que narra una dramática historia sobre la esperanza y la desesperación.
Banners of Ruin,"17,99 €3,59 €*","• Estrategia, Rol (RPG)",29-07-2021,Construye un mazo y pelea una serie de combate por turnos con hasta 6 personajes a través de la ciudad de Dawn’s Point.
Arcade Archives NOVA2001,"6,99 €*","• Arcade, Disparos (Shooter)",29-07-2021,Destroy crazy robots in the vast NOVA world!
Red Square Escape,"2,99 €*","• Acción, Arcade, Aventura, Tablero",29-07-2021,A difficult 2D top down movement game with interesting level design and simple art style.
Pixel Game Maker Series BURAIGUN GALAXY STORM,"9,19 €*","• Arcade, Disparos (Shooter)",29-07-2021,90’s arcade style vertically scrolling shooters! Beat enemies up with various 3 weapons and 2 formations!
Blaster Master Zero 3,"14,99 €*","• Acción, Aventura",29-07-2021,¡El pináculo de la acción exterminadora de mutantes ya está aquí!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Paint the Town Red,"16,79 €*","• Acción, Acción en primera persona (FPS), Aventura, Rol (RPG)",29-07-2021,"Paint the Town Red es un caótico juego de lucha cuerpo a cuerpo en primera persona que te trasladará a distintos lugares y épocas. Además, incluye una gigantesca aventura roguelite."
Christmas Tina,"22,99 €*","• Aventura, Estilo de vida, Rol (RPG)",29-07-2021,This is a miracle jointly created by Chinese and Japanese creators. This is a realistic visual novel. This is their story and yours.
Trigger Witch,"14,99 €*","• Acción, Aventura, Disparos (Shooter)",29-07-2021,¡La magia y las armas de fuego son una combinación letal en esta sangrienta aventura de estilo clásico!
Piczle Puzzle & Watch Collection,"7,99 €*","• Puzle, Simulación",29-07-2021,Tres juegos clásicos de rompecabezas retro juntos en una increíble colección portátil.
SkyDrift Infinity,"14,99 €*","• Acción, Carreras, Simulación",29-07-2021,"SkyDrift Infinity es un juego de arcade lleno de acción que se centra en la experiencia de volar solo y con otros, en un estilo de ritmo rápido."
The Long Gate,"12,59 €*","• Aventura, Educativo, Otros, Puzle",29-07-2021,Explore mysterious caverns and solve the puzzles of the ancient machines that fill them.
Kosmonavtes: Escape Reality,"4,49 €1,12 €*","• Aventura, Otros, Puzle",29-07-2021,"Un juego de escape, rompecabezas y aventuras. ¡Ayuda a Vala a cumplir su sueño y conviértete en astronauta!"
Unbound: Worlds Apart,"19,99 €*","• Aventura, Plataformas, Puzle",28-07-2021,"Abre portales para superar bestias feroces, puzles intrincados y diabólicos desafíos de plataformas."
Ayo the Clown,"16,50 €*","• Acción, Arcade, Aventura, Plataformas",28-07-2021,¡Embarquémonos en una aventura para reunir a un payaso con su perro!
Dariusburst: Another Chronicle EX+,"39,99 €*","• Acción, Arcade, Disparos (Shooter), Otros",27-07-2021,Participa en la aventura más increíble de la galaxia con esta actualización totalmente nueva del clásico arcade Dariusburst: Another Chronicle!
The Great Ace Attorney Chronicles,"39,99 €*",• Aventura,27-07-2021,¡Grita: «¡Protesto!» enfrentándote en tribunales del Londres victoriano y Japón!
SAMURAI WARRIORS 5,"A partir de: 32,99 €*",• Acción,27-07-2021,"Comienza un nuevo SAMURAI WARRIORS Tras una espera de 7 años, ¡por fin llega una nueva entrega de la serie de acción táctica ""SAMURAI WARRIORS""!"
Corpse Killer - 25th Anniversary Edition,"12,39 €*",• Disparos (Shooter),27-07-2021,
Night Book,"12,99 €*","• Aventura, Otros",27-07-2021,"Una historia, varios caminos y finales diferentes."
Clone Drone in the Danger Zone,"19,99 €*","• Acción, Disparos (Shooter), Lucha",27-07-2021,Clone Drone in the Danger Zone es un juego de desmembramiento en vóxel donde te pueden cortar cualquier parte del cuerpo.
NEO: The World Ends with You,"59,99 €23,99 €*","• Acción, Rol (RPG)",27-07-2021,"""Solo tu existencia puede cambiar nuestro destino"""
Pets No More,"4,99 €*","• Arcade, Deportes",26-07-2021,Pets no more es un juego de deportes súper dinámico y divertido de mascotas zombies que se enfrentan en un torneo para gobernar Pet Island
US Navy Sea Conflict,"4,99 €*","• Arcade, Disparos (Shooter)",24-07-2021,"Únete a los pilotos de élite de la US NAVY y ataca a los barcos que amenazan tu flota. Desde tu portaaviones, da caza a los acorazados enemigos y gana la batalla naval."
112 Operator,"19,99 €*","• Acción, Estrategia, Puzle, Simulación",23-07-2021,¡Gestiona servicios de emergencia a escala mundial!
Driving School Sim,"14,99 €*","• Acción, Carreras, Simulación",23-07-2021,¡Ponte al volante de tus coches favoritos en Driving School Sim!
Sports Pinball Bundle,"8,99 €*","• Acción, Arcade, Deportes, Simulación",23-07-2021,"Este pack incluye los juegos: World Soccer Pinball, Touchdown Pinball y Basketball Pinball."
Hunter Shooting Camp,"7,99 €*","• Arcade, Disparos (Shooter)",23-07-2021,"Entrena tus habilidades de tiro y caza en este juego de disparos definitivo. Caza en el bosque o entrena en los numerosos niveles de habilidades, desafía a los oponentes de la IA en las batallas de tiro. - Tres modos de juego."
Freddy Spaghetti 2,"4,99 €*","• Acción, Arcade, Aventura, Simulación",23-07-2021,¡Una segunda parte deliciosa con una jugabilidad de acción en 3D como nunca habías probado!
Dininho Space Adventure,"9,99 €0,99 €*","• Acción, Arcade, Aventura, Disparos (Shooter)",23-07-2021,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Truck Simulator 2,"11,99 €4,79 €*","• Acción, Carreras, Deportes, Simulación",23-07-2021,Truck Simulator 2 puts you in an exciting warehouse area with multitude of challenges and jobs to complete!
AKIBA'S TRIP: Hellbound & Debriefed,"29,99 €*","• Acción, Arcade, Aventura, Lucha",23-07-2021,Saca a la luz la maldad que acecha en la meca de la cultura pop en Japón en esta versión en HD de la primera entrega de la serie AKIBA'S TRIP.
Last Stop,"20,99 €*","• Acción, Aventura",22-07-2021,Last Stop es una aventura en tercera persona para un jugador ambientada en el Londres actual.
Gaps by POWGI,"7,99 €*","• Educativo, Puzle",22-07-2021,
Aery - Calm Mind,"8,99 €*","• Estilo de vida, Otros, Simulación",22-07-2021,Aery - Calm Mind es una experiencia de juego interactiva diseñada para relajar la mente y el alma. Tranquilícese de las molestias de su vida diaria y experimente la sensación de volar.
Bunny Bounce,"4,99 €*",• Aventura,22-07-2021,Siguen los problemas en el paraíso con esta tercera entrega de la serie Beach Bounce.
Bishoujo Battle Mahjong Solitaire,"5,99 €*","• Puzle, Tablero",22-07-2021,"¡Con la compañía de estas chicas, no te sentirás solo jugando al solitario!"
Wood Block Escape Puzzles 3,"5,99 €*","• Educativo, Estrategia, Puzle, Tablero",22-07-2021,New challenging wood unblocking puzzles with different difficulties!
Timothy vs the Aliens,"14,99 €*","• Acción, Aventura, Disparos (Shooter), Plataformas",22-07-2021,"Un juego de mundo abierto que combina plataformas, puzles y mucha acción en una gran ciudad repleta de personajes, historias y aventuras que puedes explorar con libertad."
"#pinocchio, Super Puzzles Dream","5,99 €*","• Educativo, Puzle, Tablero",22-07-2021,Sin diversión no hay « Super Puzzles Dream ».
Racing Xtreme 2,"6,99 €*","• Arcade, Carreras, Deportes, Simulación",22-07-2021,¡CONDUCE MONSTER TRUCKS Y HAZ QUE SALTEN MUY ALTO EN CARRERAS EXTREMAS!
Terra Bomber,"9,99 €*","• Arcade, Disparos (Shooter)",22-07-2021,2D Shoot'Em Up basado en juegos de disparos arcade clásicos de los 80
Terra Lander II - Rockslide Rescue,"9,99 €*","• Arcade, Disparos (Shooter)",22-07-2021,"Una secuela de Terra Lander y un homenaje a los primeros días clásicos del arcade retro, pero esta vez tendrás que rescatar a los humanoides."
Terra Lander,"9,99 €*","• Arcade, Disparos (Shooter), Otros",22-07-2021,"Un homenaje a los primeros días clásicos de arcade retro, ¡esperamos que disfrutes!"
Nyakamon Adventures,"4,99 €*","• Arcade, Aventura, Puzle",22-07-2021,Help NyaKaMon to get through challenging levels of sokoban!
Arcade Archives VENDETTA,"6,99 €*","• Acción, Arcade",21-07-2021,Declare the city a war zone.
Crash Bandicoot™ - Lote Crashiversary,"107,99 €*","• Acción, Arcade, Carreras, Plataformas",21-07-2021,Celebra 25 años de locura marsupial.
Crash Bandicoot™ - Lote Quadrilogy,"78,99 €*","• Acción, Plataformas",21-07-2021,¡Disfruta de cuatro juegos de locura marsupial!
MouseBot: Escape from CatLab,"4,99 €*","• Arcade, Plataformas",21-07-2021,Consigue queso y escapa de los gatos en estas divertidísimas pistas con obstáculos.
FATAL TWELVE,"39,99 €*",• Aventura,21-07-2021,Here follows a story of life that begins in death...
Pokémon UNITE,"0,00 €*",• Estrategia,21-07-2021,¡Da el salto al primer juego de combate y estrategia por equipos de 5 contra 5 de Pokémon en Pokémon UNITE para Nintendo Switch!
Cris Tales,"39,99 €*","• Acción, Aventura, Rol (RPG)",20-07-2021,"Vive el pasado, el presente y el futuro al mismo tiempo en este sentido y precioso homenaje a los JRPG clásicos."
Cotton Reboot!,"39,99 €*","• Acción, Arcade, Aventura, Otros",20-07-2021,La mascota favorita de los shooter de Japón llega a un espléndido juego en HD con asombros gráficos y una banda sonora remezclada.
Mind Maze,"4,99 €*","• Fiesta, Puzle, Tablero",20-07-2021,Mind Maze es un juego competitivo de lógica en la que es necesario ocupar el campo de juego.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Steam: Rails to Riches Complete Edition,"19,99 €*","• Estrategia, Simulación, Tablero",20-07-2021,La versión oficial de mejor juego de mesa: Raíles - Steam: Rails to Riches.
Super Hoops,"1,09 €*","• Arcade, Aventura, Disparos (Shooter), Puzle",19-07-2021,Get the hoops over the poles!
SpaceEx Commander,"4,99 €*","• Arcade, Aventura, Disparos (Shooter)",18-07-2021,"You are The Commander, the last resort of your kind. Humanity's faith lies in your hands."
The Legend of Zelda: Skyward Sword HD,"59,99 €*","• Acción, Aventura",16-07-2021,Descubre los orígenes de la Espada Maestra en The Legend of Zelda: Skyward Sword HD para Nintendo Switch.
Lost Grimoires 3: The Forgotten Well,"14,99 €*","• Aventura, Puzle",16-07-2021,¡Salva el reino de la maldición!
Squeakers II,"2,99 €*","• Acción, Arcade, Aventura, Puzle",16-07-2021,
Within the Blade,"10,99 €*","• Acción, Plataformas",16-07-2021,Ocúltate en las sombras y acaba con tus objetivos al más puro estilo ninja
Restless Night,"4,99 €*","• Acción, Disparos (Shooter)",16-07-2021,Tonight is THE Night!
Dungeon Bricker,"3,99 €*","• Arcade, Educativo, Plataformas, Puzle",16-07-2021,
Zoo Dentist,"9,99 €*","• Educativo, Puzle, Simulación, Uso práctico",16-07-2021,¿Por qué no debemos alimentar a los animales con nuestra propia comida en el zoo?
scribbled,"9,99 €*","• Acción, Aventura, Otros, Plataformas",16-07-2021,A 100% handmade art game. It was created with pencil and paper!
Labyrinth City: Pierre the Maze Detective,"11,99 €*","• Aventura, Puzle",15-07-2021,"Toma el control de Pierre en este juego de puzles y aventuras adaptado de la exitosa serie de libros para niños ""Pierre. El detective de laberintos""."
Lambs on the road : The Beginning,"2,99 €*","• Acción, Aventura, Plataformas, Puzle",15-07-2021,Lambs on the road es un juego de plataformas con pequeños rompecabezas. Ayuda a John a encontrar a su hija en un mundo post-apocalíptico lleno de peligros.
Macrotis: A Mother's Journey,"11,99 €*","• Acción, Aventura, Plataformas, Puzle",15-07-2021,¡Ayuda a Bilby a encontrar sus hijos en una tierna aventura subterránea!
Wizodd,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",15-07-2021,Wizodd es un juego roguelike dungeon crawler frenético para un jugador con estética pixel art.
Dark Nights with Poe and Munro,"11,99 €*","• Aventura, Otros",15-07-2021,Seis increíbles misterios sobrenaturales
Risk System,"9,99 €*","• Arcade, Disparos (Shooter)",15-07-2021,Risk System is a gorgeous hand crafted 2D shmup with a unique core mechanic where you boost your ship's firepower by performing stunts and weaving between enemy fire.
Guild of Darksteel,"14,99 €*",• Aventura,15-07-2021,"Lánzate a una oscura aventura de fantasía y sigue al Sellsword, un inmortal que intenta dar sentido a su vida eterna uniéndose al Gremio de Darksteel."
Junkyard Builder,"4,99 €*","• Arcade, Estrategia, Simulación, Uso práctico",15-07-2021,"Become an owner of the biggest Junkyard! Manage garbage dump and build your junk empire. Clean up, renew, build, trade. It's all in your hands!"
Word Crush Hidden,"4,99 €*","• Educativo, Puzle, Tablero",15-07-2021,Find the words and complete all 1399 Levels!
Defend the Kingdom,"4,99 €*","• Acción, Estrategia, Rol (RPG), Tablero",15-07-2021,¡Defiende tu reino de las criaturas malignas y construye la última línea de defensa en este emocionante juego de defensa de torres!
Red Colony 2,"6,99 €*","• Acción, Aventura, Puzle",15-07-2021,¿Qué es peor que un apocalipsis zombi? Un apocalipsis zombi... con DINOSAURIOS!!
Car Wash - Juego de garaje de coches y camiones para niños pequeños,"9,99 €*","• Educativo, Otros",15-07-2021,"¿Te gustan los coches, camiones, coches de policía, camiones de bomberos, excavadoras y muchos vehículos geniales? ¡Este juego contiene 25 vehículos que puedes lavar y limpiar!"
Rogue Wizards,"11,99 €*","• Aventura, Estrategia, Rol (RPG)",15-07-2021,"Combatti creature, raccogli bottino, padroneggia la magia e costruisci il tuo santuario della Torre dei maghi in questo gioco di ruolo rogue-like e strisciante."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Is it Wrong to Try to Shoot 'em up Girls in a Dungeon?,"0,99 €*",• Arcade,15-07-2021,¡Minijuego de disparos con desplazamiento lateral y los personajes del anime y juego de rol japonés DanMachi!
Rogue Star Rescue,"12,49 €*","• Acción, Disparos (Shooter), Estrategia",15-07-2021,"Bala Loca del Infierno + Estrategia de Defensa de Torres. Nuevo juego estrafalario de disparo y mazmorra. Ábrete camino a través de diversos planetas, solo o en línea!"
Akinofa,"4,99 €1,49 €*","• Acción, Arcade, Disparos (Shooter), Otros",15-07-2021,Akinofa es un juego arcade shoot 'em up con elementos Roguelite.
Arcade Archives DARWIN 4078,"6,99 €*","• Arcade, Disparos (Shooter)",15-07-2021,Chaos is calling... from the world of mutation!
Lotus Reverie: First Nexus,"13,99 €*","• Aventura, Estrategia, Otros, Rol (RPG)",15-07-2021,Una novela visual en el mismísimo fin del mundo. La mitad de los supervivientes ni siquiera son humanos y solo una pareja podrá sobrevivir.
Induction,"7,39 €*",• Puzle,14-07-2021,Juega con la causalidad.
3D Air Hockey,"4,99 €*","• Arcade, Deportes",14-07-2021,Disfruta de una acción trepidante en este juego de Air Hockey muy cercano a la realidad. Fácil de jugar y difícil de dominar. características principales: - Controles muy precisos y fáciles de aprender.
Curved Space,"19,99 €*","• Acción, Arcade, Disparos (Shooter)",13-07-2021,"Inspirado en los clásicos arcade, los jugadores tendrán que cazar potenciadores de armas y mejoras a la vez que esquivan el fuego enemigo, hacen explotar insectos interdimensionales y pelean contra enormes monstruos jefe."
ASMR Journey - Jigsaw Puzzle,"3,99 €*","• Aventura, Estilo de vida, Puzle, Tablero",13-07-2021,A jigsaw puzzle game that takes you on a relaxing visit to lively and magical environments with a peaceful and serene environments.
Fates of Ort,"12,49 €*","• Acción, Aventura, Rol (RPG)",12-07-2021,"Fates of Ort is a retro fantasy RPG focused on strategic action, in a land where time is frozen when you stand still. Cast powerful spells - but beware, they will cost you your life."
Theofil,"1,99 €*","• Arcade, Aventura, Plataformas",12-07-2021,Theofil is an action arcade game in which you'll guide a hooded hero wearing an ancient robe.
Egg Up,"2,99 €*",• Arcade,10-07-2021,"Tienes que llevar el huevo a la cima. Para llevar el huevo a la cima, salta de plataforma en plataforma. Algunas plataformas tienen almohadillas de rebote rojas que permiten al huevo saltar mucho más alto."
Classic Pool,"7,99 €0,99 €*","• Deportes, Simulación, Tablero",10-07-2021,
Monster Hunter Stories 2: Wings of Ruin,"A partir de: 39,99 €*","• Aventura, Rol (RPG)",09-07-2021,Alza el vuelo en un juego de rol y aventura repleto de monstruos: ¡Monster Hunter Stories 2: Wings of Ruin para Nintendo Switch!
